.       L2     W1     W2     W3
1       19.40   9.00   8.10  18.40
2       16.30   8.90   8.00  18.60
3       13.00   7.00   6.20  14.00
4       10.70   5.50   5.00  12.50
5       17.00   9.00   7.70  17.70
6       16.90   8.50   7.50  17.00
7       12.70   6.70   6.10  14.50
8       19.50  10.00   8.00  19.00
9       14.00   7.60   6.70  15.00
10      19.50  11.30  10.00  24.00
11      25.00  15.20  13.10  28.50
12      14.00   8.20   7.60  17.60
13      15.00   7.80   7.00  16.50
14      21.00  12.00  10.00  24.30
15      22.20  11.40   9.80  22.80
16      16.20   9.00   7.60  18.50
17      12.90   7.00   6.40  14.50
18      12.50   7.30   6.40  15.00
19      16.50   7.80   6.50  16.40
20      17.00   8.60   7.30  17.10
21      12.70   6.20   6.00  13.70
22      19.30  11.20   9.80  20.00
23      15.20   7.60   6.50  14.60
24      16.00   8.20   7.70  16.00
25      17.80   9.20   7.80  18.70
26      21.70  11.30   9.70  22.60
27      17.10   9.50   7.80  20.00
28      24.00  13.50  12.30  25.40
29      18.60   9.60   8.20  20.70
30      26.00  13.90  12.20  26.50
31      16.40   8.40   7.80  16.00
32      11.30   6.70   6.00  13.30
33      18.20   9.60   8.50  18.00
34      16.00   8.20   7.31  18.00
35      20.00  11.30   9.20  20.70
36      22.60  11.40  10.00  22.80
37      12.80   7.20   6.60  15.50
38      12.50   6.10   5.40  12.30
39      15.00   8.00   7.00  16.20
40      14.60   7.80   6.70  16.70
41      12.20   7.00   6.40  15.00
42      10.70   6.00   5.10  12.80
43      20.70  11.00   9.20  22.30
